,precision,recall,f1
0,0.8344614194546509,0.9491860976682798,0.8881341977976741
1,0.8466447495648811,0.9498806682577565,0.8952965235173824
2,0.7917230709727325,0.9547574626865671,0.8656306163442224
3,0.8472249081415587,0.9507378472222222,0.8960016361591164
4,0.84200348095146,0.951486013986014,0.8934030983892479
5,0.773931541287952,0.9576453697056713,0.8560427807486631
6,0.8085476696963837,0.9521749032111136,0.8745032419995817
7,0.8325275575323922,0.9590109155713967,0.8913043478260869
8,0.8015857667762522,0.9572748267898383,0.8725397326597202
9,0.7516921291819764,0.9609394313967862,0.8435329861111112
10,0.8501257010249468,0.9496651544610067,0.8971428571428572
11,0.8153161864242893,0.9586175534333788,0.8811788065628592
12,0.8155095726165151,0.9579736483416629,0.8810195341063407
13,0.7913362985882808,0.9607889175862878,0.8678685047720043
14,0.7880487333204409,0.9590491880442457,0.8651804670912951
15,0.8050667182363179,0.9625433526011561,0.8767902274641954
16,0.7781860375169213,0.9590085795996187,0.8591865058182983
17,0.846838135757107,0.9527850304612707,0.896692945633255
18,0.7520789015664282,0.9683764940239044,0.8466311091760097
19,0.8170566621543222,0.9595730183965478,0.8825987048255691
20,0.8168632759620963,0.959563834620627,0.8824819805703541
21,0.8099013730419649,0.9572571428571428,0.8774355751099938
22,0.7886288918971186,0.9613389910419613,0.8664612769573994
23,0.8505124734093986,0.9554638279383011,0.899938612645795
24,0.8400696190292013,0.9543057996485061,0.8935513730330145
25,0.8271127441500676,0.9583239973112256,0.8878970313473116
26,0.8654032102107909,0.9486962052151792,0.9051375404530743
27,0.8721717269386966,0.9478772593526692,0.9084499949642462
28,0.8611487139818217,0.954146132419113,0.9052652978247612
29,0.8240185650744537,0.9625028235825616,0.8878933111064805
30,0.8286598336878747,0.9590420769919427,0.8890963792924577
31,0.8269193579578418,0.9626294461954075,0.8896286278997191
32,0.8429704119125895,0.9607670266696055,0.8980222496909765
33,0.8630825759040804,0.9581365392872477,0.9081290060026452
34,0.8692709340553084,0.9499154691462384,0.9078057154397657
35,0.8596016244440147,0.9559139784946237,0.9052031361368497
36,0.8070005801585767,0.9568906214171061,0.875577003776752
37,0.8263391993811642,0.9578569827392961,0.8872508305647842
38,0.8408431637981049,0.9591881756011471,0.8961253091508656
39,0.8474182943337846,0.9540605268887438,0.8975829578041786
40,0.8354283504157803,0.960213380751278,0.8934850051706309
41,0.8862889189711854,0.9539966694421316,0.9188972431077695
42,0.8191839102688068,0.9614162505674081,0.8846194006473843
43,0.8715915683620189,0.9518479408658923,0.9099535634968706
44,0.8336878746857475,0.9635672776039338,0.8939346811819596
45,0.8715915683620189,0.9583244737401658,0.9129025724123961
46,0.8091278282730613,0.9658356417359187,0.8805640324108177
47,0.8360085089924579,0.9643096140977024,0.8955873213175886
48,0.855927286791723,0.9623831267666884,0.9060388945752302
49,0.849738928640495,0.9616984022762093,0.9022587268993839
